features,importance
age,0.007399933
campaign,0.007605928
pdays,0.023967119
previous,0.01002769
emp.var.rate,0.033790126
cons.price.idx,0.01026466
cons.conf.idx,0.023559438
euribor3m,0.022856228
nr.employed,0.31427756
job_admin,0.005970266
job_blue-collar,0.008007367
job_entrepreneur,0.0050234427
job_housemaid,0.0063409107
job_management,0.006638054
job_retired,0.0054466254
job_self-employed,0.006945424
job_services,0.005787876
job_student,0.00713058
job_technician,0.0067086914
job_unemployed,0.005292364
job_unknown,0.0068357247
marital_divorced,0.0057388297
marital_married,0.005107214
marital_single,0.006089371
marital_unknown,0.0041928105
education_basic.4y,0.0054911403
education_basic.6y,0.005924211
education_basic.9y,0.0057821674
education_high.school,0.005680586
education_illiterate,0.0
education_professional.course,0.005367284
education_university.degree,0.0053212224
education_unknown,0.0055273776
default_no,0.009923158
default_unknown,0.012553725
default_yes,0.0
housing_no,0.005613675
housing_unknown,0.0057232375
housing_yes,0.005801623
loan_no,0.004280501
loan_unknown,0.0066199084
loan_yes,0.006903703
contact_cellular,0.011901552
contact_telephone,0.014385374
month_10,0.029171092
month_11,0.008283581
month_12,0.00487033
month_3,0.0058654505
month_4,0.0116718
month_5,0.031463005
month_6,0.008755579
month_7,0.0086026015
month_8,0.0060456577
month_9,0.0073497663
day_of_week_0,0.010342554
day_of_week_1,0.009449239
day_of_week_2,0.0074017453
day_of_week_3,0.006187211
day_of_week_4,0.006080241
poutcome_failure,0.013203138
poutcome_nonexistent,0.008184838
poutcome_success,0.082996406
job_transformed_higher_income,0.005674936
job_transformed_lower_income,0.007934245
job_transformed_no_income,0.012681973
job_transformed_unknown,0.0053355754
education_transformed_Dropout,0.0074747787
education_transformed_illiterate,0.0
education_transformed_professional.course,0.006492683
education_transformed_university.degree,0.007997444
education_transformed_unknown,0.0066795307
